# 词语	拼音	主码	权重	词长	附加词码
皇朝	huang chao	hdik	571	2	hdikh hdikhj
黄巢	huang chao	hdik	84	2	hdikt hdiktv
潢川	huang chuan	hdir	178	2	hdire hdirel
蝗虫	huang chong	hdis	195	2	hdisl hdisll
荒郊	huang jiao	hdjc	96	2	hdjct hdjcty
黄健翔	huang jian xiang	hdjmxd	405	3	hdjmxdt hdjmxdtt
黄巾	huang jin	hdjn	345	2	hdjnt hdjntl
黄金甲	huang jin jia	hdjnjw	403	3	hdjnjwt hdjnjwtw
黄金周	huang jin zhou	hdjnvb	2054	3	hdjnvbt hdjnvbtb
黄金屋	huang jin wu	hdjnwu	353	3	hdjnwut hdjnwuts
黄酒	huang jiu	hdjq	484	2	hdjqt hdjqte
皇家	huang jia	hdjw	2739	2	hdjwh hdjwhj
黄家驹	huang jia ju	hdjwju	182	3	hdjwjut hdjwjutn
黄精	huang jing	hdjy	354	2	hdjyt hdjytf
黄静	huang jing	hdjy	148	2	hdjyt hdjytq
惶恐	huang kong	hdks	548	2	hdksp hdkspm
荒凉	huang liang	hdld	638	2	hdldt hdldti
黄粱	huang liang	hdld	90	2	hdldt hdldte
慌了	huang le	hdle	307	2	hdlep hdlepn
晃了	huang le	hdle	306	2	hdlea hdlean
黄了	huang le	hdle	208	2	hdlet hdletn
黄历	huang li	hdli	147	2	hdlit hdlitm
黄鹂	huang li	hdli	130	2	hdlit hdlitm
黄老	huang lao	hdlk	83	2	hdlkt hdlktj
黄老师	huang lao shi	hdlkui	126	3	hdlkuit hdlkuiti
晃来	huang lai	hdll	128	2	hdlla hdllad
黄连	huang lian	hdlm	396	2	hdlmt hdlmty
黄脸婆	huang lian po	hdlmpo	140	3	hdlmpot hdlmpote
黄磷	huang lin	hdln	56	2	hdlnt hdlntm
遑论	huang lun	hdlp	56	2	hdlpy hdlpyi
慌乱	huang luan	hdlr	772	2	hdlrp hdlrph
黄龙	huang long	hdls	926	2	hdlst hdlsti
黄绿	huang lv	hdlv	148	2	hdlvt hdlvtv
黄绿色	huang lv se	hdlvse	125	3	hdlvset hdlvsetn
皇陵	huang ling	hdly	223	2	hdlyh hdlyhn
黄陵	huang ling	hdly	134	2	hdlyt hdlytn
黄磊	huang lei	hdlz	273	2	hdlzt hdlztm
皇马	huang ma	hdma	2837	2	hdmah hdmahn
黄麻	huang ma	hdma	52	2	hdmat hdmati
黄某	huang mou	hdmb	172	2	hdmbt hdmbtt
慌忙	huang mang	hdmh	487	2	hdmhp hdmhpp
黄毛	huang mao	hdmk	201	2	hdmkt hdmkth
荒漠	huang mo	hdmo	539	2	hdmot hdmote
荒漠化	huang mo hua	hdmohw	125	3	hdmohwt hdmohwto
荒谬	huang miu	hdmq	555	2	hdmqt hdmqti
黄梅	huang mei	hdmz	312	2	hdmzt hdmztd
黄梅戏	huang mei xi	hdmzxi	196	3	hdmzxit hdmzxite
黄梅县	huang mei xian	hdmzxm	105	3	hdmzxmt hdmzxmtb
黄泥	huang ni	hdni	177	2	hdnit hdnite
黄牛	huang niu	hdnq	789	2	hdnqt hdnqth
黄皮	huang pi	hdpi	89	2	hdpit hdpitd
黄袍	huang pao	hdpk	71	2	hdpkt hdpktl
黄牌	huang pai	hdpl	454	2	hdplt hdpltl
黄片	huang pian	hdpm	103	2	hdpmt hdpmtl
黄浦	huang pu	hdpu	2414	2	hdput hdpute
黄埔	huang pu	hdpu	1818	2	hdput hdputg
黄浦江	huang pu jiang	hdpujd	206	3	hdpujdt hdpujdte
黄浦区	huang pu qu	hdpuqu	577	3	hdpuqut hdpuquts
黄埔区	huang pu qu	hdpuqu	243	3	hdpuqut hdpuquts
黄桥	huang qiao	hdqc	90	2	hdqct hdqctd
黄芪	huang qi	hdqi	464	2	hdqit hdqitt
黄芩	huang qin	hdqn	231	2	hdqnt hdqntt
皇亲	huang qin	hdqn	98	2	hdqnh hdqnhy
皇亲国戚	huang qin guo qi	hdqngoqi	42	4	hdqngoqih hdqngoqihi
黄秋生	huang qiu sheng	hdqqug	253	3	hdqqugt hdqqugth
黄泉	huang quan	hdqr	451	2	hdqrt hdqrth
皇权	huang quan	hdqr	162	2	hdqrh hdqrhd
黄泉路	huang quan lu	hdqrlu	101	3	hdqrlut hdqrlutr
黄雀	huang que	hdqt	303	2	hdqtt hdqttf
晃去	huang qu	hdqu	143	2	hdqua hdquag
很多人	hen duo ren	hdr	9752	3	hdrh hdrho hfdorf hfdorfh hfdorfho
恍然	huang ran	hdrj	959	2	hdrjp hdrjpb
恍若	huang ruo	hdro	228	2	hdrop hdropt
黄蓉	huang rong	hdrs	265	2	hdrst hdrstt
恍如	huang ru	hdru	254	2	hdrup hdrupv
黄色	huang se	hdse	6003	2	hdset hdsetn
磺酸	huang suan	hdsr	434	2	hdsrm hdsrmm
荒唐	huang tang	hdth	1015	2	hdtht hdthti
黄体	huang ti	hdti	231	2	hdtit hdtito
皇太后	huang tai hou	hdtlhb	213	3	hdtlhbh hdtlhbhh
皇太极	huang tai ji	hdtlji	176	3	hdtljih hdtljihd
皇太子	huang tai zi	hdtlzi	152	3	hdtlzih hdtlzihn
皇天	huang tian	hdtm	79	2	hdtmh hdtmhm
黄铜	huang tong	hdts	373	2	hdtst hdtsto
黄土	huang tu	hdtu	1103	2	hdtut hdtutg
黄土地	huang tu di	hdtudi	123	3	hdtudit hdtuditg
黄沙	huang sha	hdua	499	2	hduat hduate
黄圣依	huang sheng yi	hdugyi	333	3	hdugyit hdugyito
皇上	huang shang	hduh	2167	2	hduhh hduhhy
黄石	huang shi	hdui	2129	2	hduit hduitm
皇室	huang shi	hdui	668	2	hduih hduihj
黄石市	huang shi shi	hduiui	215	3	hduiuit hduiuity
黄山	huang shan	hduj	3314	2	hdujt hdujtu
荒山	huang shan	hduj	250	2	hdujt hdujtu
黄鳝	huang shan	hduj	223	2	hdujt hdujtn
黄衫	huang shan	hduj	69	2	hdujt hdujtl
黄山市	huang shan shi	hdujui	303	3	hdujuit hdujuity
皇叔	huang shu	hduu	73	2	hduuh hduuhy
黄鼠狼	huang shu lang	hduulh	102	3	hduulht hduulhtk
黄水	huang shui	hduv	110	2	hduvt hduvte
黄州	huang zhou	hdvb	242	2	hdvbt hdvbth
慌张	huang zhang	hdvh	534	2	hdvhp hdvhpn
黄忠	huang zhong	hdvs	296	2	hdvst hdvstl
湟中	huang zhong	hdvs	248	2	hdvse hdvsel
黄种	huang zhong	hdvs	101	2	hdvst hdvsth
黄钟	huang zhong	hdvs	50	2	hdvst hdvsto
湟中县	huang zhong xian	hdvsxm	100	3	hdvsxme hdvsxmeb
荒芜	huang wu	hdwu	596	2	hdwut hdwutt
荒无人烟	huang wu ren yan	hdwurfyj	50	4	hdwurfyjt hdwurfyjtf
皇位	huang wei	hdwz	201	2	hdwzh hdwzho
黄晓明	huang xiao ming	hdxcmy	685	3	hdxcmyt hdxcmyta
黄兴	huang xing	hdxy	297	2	hdxyt hdxytf
黄油	huang you	hdyb	403	2	hdybt hdybte
晃悠	huang you	hdyb	217	2	hdyba hdybao
荒野	huang ye	hdye	512	2	hdyet hdyetw
黄叶	huang ye	hdye	206	2	hdyet hdyetr
黄杨	huang yang	hdyh	169	2	hdyht hdyhtd
黄羊	huang yang	hdyh	103	2	hdyht hdyhtt
黄奕	huang yi	hdyi	679	2	hdyit hdyity
黄衣	huang yi	hdyi	81	2	hdyit hdyity
谎言	huang yan	hdyj	2681	2	hdyji hdyjiy
黄岩	huang yan	hdyj	527	2	hdyjt hdyjtu
晃眼	huang yan	hdyj	106	2	hdyja hdyjab
黄岩区	huang yan qu	hdyjqu	100	3	hdyjqut hdyjquts
荒淫	huang yin	hdyn	136	2	hdynt hdynte
荒原	huang yuan	hdyr	371	2	hdyrt hdyrtm
湟源	huang yuan	hdyr	224	2	hdyre hdyree
黄鱼	huang yu	hdyu	205	2	hdyut hdyutn
黄玉	huang yu	hdyu	146	2	hdyut hdyutm
黄莺	huang ying	hdyy	144	2	hdyyt hdyytt
皇子	huang zi	hdzi	830	2	hdzih hdzihn
幌子	huang zi	hdzi	294	2	hdzil hdziln
黄钻	huang zuan	hdzr	304	2	hdzrt hdzrto
皇族	huang zu	hdzu	285	2	hdzuh hdzuhy
和蔼	he ai	heai	591	2	heaih heaiht
河岸	he an	hean	339	2	heane heaneu
哈尔滨	ha er bin	heb	18716	3	hebr hebre haerbn haerbnr haerbnre
赫本	he ben	hebf	269	2	hebfg hebfgd
何必	he bi	hebi	2829	2	hebio hebiop
鹤壁	he bi	hebi	963	2	hebio hebios
合璧	he bi	hebi	221	2	hebio hebios
鹤壁市	he bi shi	hebiui	230	3	hebiuio hebiuioy
合办	he ban	hebj	138	2	hebjo hebjok
荷包	he bao	hebk	493	2	hebkt hebktp
核爆	he bao	hebk	71	2	hebkd hebkdf
合抱	he bao	hebk	59	2	hebko hebkoq
核保	he bao	hebk	57	2	hebkd hebkdo
荷包蛋	he bao dan	hebkdj	119	3	hebkdjt hebkdjtn
河边	he bian	hebm	1300	2	hebme hebmey
合编	he bian	hebm	81	2	hebmo hebmov
河滨	he bin	hebn	238	2	hebne hebnee
何不	he bu	hebu	2196	2	hebuo hebuom
合不拢嘴	he bu long zui	hebulszv	118	4	hebulszvo hebulszvor
合并	he bing	heby	3950	2	hebyo hebyot
喝杯	he bei	hebz	273	2	hebzr hebzrd
河北区	he bei qu	hebzqu	478	3	hebzque hebzques
河北省	he bei sheng	hebzug	3690	3	hebzuge hebzugef
何曾	he ceng	hecg	230	2	hecgo hecgoc
贺词	he ci	heci	199	2	hecik heciki
核磁共振	he ci gong zhen	hecigsvf	167	4	hecigsvfd hecigsvfdq
喝彩	he cai	hecl	950	2	heclr heclrb
河村	he cun	hecp	263	2	hecpe hecped
喝掉	he diao	hedc	109	2	hedcr hedcrq
喝的	he de	hede	1203	2	heder hederh
喝得	he de	hede	360	2	heder hederh
赫德	he de	hede	58	2	hedeg hedegh
何德何能	he de he neng	hedeheng	41	4	hedehengo hedehengoi
何等	he deng	hedg	943	2	hedgo hedgoh
何地	he di	hedi	308	2	hedio hediog
河堤	he di	hedi	169	2	hedie hedieg
河底	he di	hedi	85	2	hedie hediei
核弹	he dan	hedj	345	2	hedjd hedjdn
核弹头	he dan tou	hedjtb	108	3	hedjtbd hedjtbdy
河道	he dao	hedk	891	2	hedke hedkey
喝道	he dao	hedk	453	2	hedkr hedkry
喝到	he dao	hedk	343	2	hedkr hedkrm
核电	he dian	hedm	719	2	hedmd hedmdl
喝点	he dian	hedm	392	2	hedmr hedmry
贺电	he dian	hedm	105	2	hedmk hedmkl
核电站	he dian zhan	hedmvj	294	3	hedmvjd hedmvjdy
喝多	he duo	hedo	497	2	hedor hedorn
喝多了	he duo le	hedole	392	3	hedoler hedolern
河段	he duan	hedr	171	2	hedre hedreh
河东	he dong	heds	2221	2	hedse hedsek
核动力	he dong li	hedsli	165	3	hedslid hedslidk
河东区	he dong qu	hedsqu	638	3	hedsque hedsques
核对	he dui	hedv	831	2	hedvd hedvde
核定	he ding	hedy	634	2	hedyd hedydj
合订本	he ding ben	hedybf	195	3	hedybfo hedybfod
赫尔	he er	heer	220	2	heerg heergn
荷尔蒙	he er meng	heermg	516	3	heermgt heermgtt
合二为一	he er wei yi	heerwzyi	171	4	heerwzyio heerwzyiom
合而为一	he er wei yi	heerwzyi	78	4	heerwzyio heerwzyiom
赫尔辛基	he er xin ji	heerxnji	142	4	heerxnjig heerxnjigt
合法	he fa	hefa	5666	2	hefao hefaoe
核发	he fa	hefa	425	2	hefad hefadi
合法化	he fa hua	hefahw	179	3	hefahwo hefahwoo
合法性	he fa xing	hefaxy	944	3	hefaxyo hefaxyop
河粉	he fen	heff	88	2	heffe heffef
和风	he feng	hefg	522	2	hefgh hefghh
鹤峰	he feng	hefg	251	2	hefgo hefgou
鹤峰县	he feng xian	hefgxm	120	3	hefgxmo hefgxmob
何方	he fang	hefh	1208	2	hefho hefhoy
何妨	he fang	hefh	333	2	hefho hefhov
盒饭	he fan	hefj	472	2	hefjo hefjon
核反应堆	he fan ying dui	hefjyydv	69	4	hefjyydvd hefjyydvdg
和服	he fu	hefu	343	2	hefuh hefuhb
合肥市	he fei shi	hefzui	1198	3	hefzuio hefzuioy
河沟	he gou	hegb	117	2	hegbe hegbee
喝光	he guang	hegd	88	2	hegdr hegdrf
合格	he ge	hege	7644	2	hegeo hegeod
喝个	he ge	hege	95	2	heger hegero
合格率	he ge lv	hegelv	465	3	hegelvo hegelvoy
合格者	he ge zhe	hegeve	275	3	hegeveo hegeveoj
合格证	he ge zheng	hegevg	482	3	hegevgo hegevgoi
鹤岗	he gang	hegh	681	2	hegho heghou
鹤岗市	he gang shi	heghui	115	3	heghuio heghuioy
何干	he gan	hegj	99	2	hegjo hegjom
核苷	he gan	hegj	62	2	hegjd hegjdt
核苷酸	he gan suan	hegjsr	184	3	hegjsrd hegjsrdm
盒盖	he gai	hegl	60	2	heglo heglot
喝过	he guo	hego	336	2	hegor hegory
合共	he gong	hegs	55	2	hegso hegsot
核工业	he gong ye	hegsye	187	3	hegsyed hegsyedt
河谷	he gu	hegu	617	2	hegue heguec
何故	he gu	hegu	207	2	heguo heguoj
颌骨	he gu	hegu	66	2	heguo heguob
合谷	he gu	hegu	54	2	heguo heguoc
合规	he gui	hegv	233	2	hegvo hegvoq
赫赫	he he	hehe	423	2	heheg hehegg
和合	he he	hehe	268	2	heheh heheho
和和	he he	hehe	252	2	heheh hehehh
喝喝	he he	hehe	221	2	heher heherr
和好	he hao	hehk	937	2	hehkh hehkhv
合伙	he huo	heho	1477	2	hehoo hehooo
合伙人	he huo ren	hehorf	624	3	hehorfo hehorfoo
合欢	he huan	hehr	363	2	hehro hehroe
和缓	he huan	hehr	89	2	hehrh hehrhv
呵护	he hu	hehu	2439	2	hehur hehurq
合乎	he hu	hehu	432	2	hehuo hehuoh
和会	he hui	hehv	115	2	hehvh hehvho
荷花	he hua	hehw	1558	2	hehwt hehwtt
荷花池	he hua chi	hehwii	168	3	hehwiit hehwiite
喝茶	he cha	heia	1292	2	heiar heiart
核查	he cha	heia	785	2	heiad heiadd
河床	he chuang	heid	273	2	heide heidei
合成	he cheng	heig	7229	2	heigo heigoi
鹤城	he cheng	heig	186	2	heigo heigog
合称	he cheng	heig	119	2	heigo heigoh
合成器	he cheng qi	heigqi	113	3	heigqio heigqior
合唱	he chang	heih	2834	2	heiho heihor
何尝	he chang	heih	891	2	heiho heihof
合唱团	he chang tuan	heihtr	611	3	heihtro heihtrow
河池	he chi	heii	1137	2	heiie heiiee
呵斥	he chi	heii	232	2	heiir heiirh
合川	he chuan	heir	469	2	heiro heirol
河川	he chuan	heir	89	2	heire heirel
合川区	he chuan qu	heirqu	119	3	heirquo heirquos
何处	he chu	heiu	2385	2	heiuo heiuoh
喝出	he chu	heiu	111	2	heiur heiuru
合脚	he jiao	hejc	72	2	hejco hejcob
合江	he jiang	hejd	300	2	hejdo hejdoe
合江县	he jiang xian	hejdxm	110	3	hejdxmo hejdxmob
合计	he ji	heji	2274	2	hejio hejioi
合集	he ji	heji	1638	2	hejio hejioo
合击	he ji	heji	353	2	hejio hejioq
合剂	he ji	heji	215	2	hejio hejioy
和记黄埔	he ji huang pu	hejihdpu	69	4	hejihdpuh hejihdpuhg
河间	he jian	hejm	288	2	hejme hejmel
河间市	he jian shi	hejmui	134	3	hejmuie hejmuiey
合金	he jin	hejn	8683	2	hejno hejnoc
河津	he jin	hejn	232	2	hejne hejnee
合金钢	he jin gang	hejngh	254	3	hejngho hejnghoo
河津市	he jin shi	hejnui	160	3	hejnuie hejnuiey
喝酒	he jiu	hejq	4788	2	hejqr hejqre
何炅	he jiong	hejs	250	2	hejso hejsoa
和局	he ju	heju	70	2	hejuh hejuhs
合家	he jia	hejw	305	2	hejwo hejwoj
阖家	he jia	hejw	56	2	hejwl hejwlj
合家欢	he jia huan	hejwhr	112	3	hejwhro hejwhroe
和解	he jie	hejx	811	2	hejxh hejxhn
何洁	he jie	hejx	431	2	hejxo hejxoe
和姐姐	he jie jie	hejxjx	442	3	hejxjxh hejxjxhv
贺卡	he ka	heka	1100	2	hekak hekaky
喝咖啡	he ka fei	hekafz	559	3	hekafzr hekafzrr
河口	he kou	hekb	1210	2	hekbe hekber
喝口	he kou	hekb	53	2	hekbr hekbrr
河口区	he kou qu	hekbqu	122	3	hekbque hekbques
何况	he kuang	hekd	3120	2	hekdo hekdoi
何况是	he kuang shi	hekdui	427	3	hekduio hekduioa
何苦	he ku	heku	509	2	hekuo hekuot
赫拉	he la	hela	158	2	helag helagq
喝了	he le	hele	2662	2	heler helern
和乐	he le	hele	184	2	heleh helehh
合力	he li	heli	1172	2	helio heliok
河里	he li	heli	510	2	helie heliew
贺礼	he li	heli	138	2	helik heliki
盒里	he li	heli	116	2	helio heliow
鹤立	he li	heli	116	2	helio helioy
合理化	he li hua	helihw	269	3	helihwo helihwoo
鹤立鸡群	he li ji qun	helijiqp	86	4	helijiqpo helijiqpos
合理性	he li xing	helixy	540	3	helixyo helixyop
荷兰	he lan	helj	3298	2	heljt heljtt
贺兰	he lan	helj	440	2	heljk heljkt
荷兰队	he lan dui	heljdv	110	3	heljdvt heljdvtn
荷兰人	he lan ren	heljrf	179	3	heljrft heljrfto
贺兰山	he lan shan	heljuj	105	3	heljujk heljujku
何来	he lai	hell	471	2	hello hellod
和林格尔	he lin ge er	helngeer	113	4	helngeerh helngeerhn
河洛	he luo	helo	118	2	heloe heloee
河流	he liu	helq	1758	2	helqe helqee
河柳	he liu	helq	114	2	helqe helqed
合流	he liu	helq	87	2	helqo helqoe
贺龙	he long	hels	241	2	helsk helski
合拢	he long	hels	147	2	helso helsoq
合龙	he long	hels	64	2	helso helsoi
赫鲁晓夫	he lu xiao fu	heluxcfu	126	4	heluxcfug heluxcfugq
河马	he ma	hema	324	2	hemae hemaen
荷马	he ma	hema	99	2	hemat hematn
合谋	he mou	hemb	142	2	hembo hemboi
禾苗	he miao	hemc	69	2	hemch hemcht
合买	he mai	heml	265	2	hemlo hemlon
河面	he mian	hemm	199	2	hemme hemmem
和睦	he mu	hemu	877	2	hemuh hemuhb
和鸣	he ming	hemy	71	2	hemyh hemyhr
和美	he mei	hemz	582	2	hemzh hemzht
褐煤	he mei	hemz	54	2	hemzl hemzlf
核能	he neng	heng	261	2	hengd hengdi
何能	he neng	heng	236	2	hengo hengoi
和你	he ni	heni	11399	2	henih heniho
河南人	he nan ren	henjrf	262	3	henjrfe henjrfeo
河南省	he nan sheng	henjug	4426	3	henjuge henjugef
和男友	he nan you	henjyb	220	3	henjybh henjybhk
喝奶	he nai	henl	210	2	henlr henlrv
何年	he nian	henm	179	2	henmo henmoo
贺年	he nian	henm	69	2	henmk henmko
喝牛奶	he niu nai	henqnl	372	3	henqnlr henqnlrv
河内	he nei	henz	268	2	henze henzeo
盒内	he nei	henz	93	2	henzo henzoo
喝啤酒	he pi jiu	hepijq	230	3	hepijqr hepijqre
河畔	he pan	hepj	864	2	hepje hepjew
和盘托出	he pan tuo chu	hepjtoiu	52	4	hepjtoiuh hepjtoiuhu
合拍	he pai	hepl	454	2	heplo heploq
和平	he ping	hepy	9629	2	hepyh hepyhm
和平奖	he ping jiang	hepyjd	211	3	hepyjdh hepyjdhl
和平街	he ping jie	hepyjx	404	3	hepyjxh hepyjxhh
和平里	he ping li	hepyli	454	3	hepylih hepylihw
和平路	he ping lu	hepylu	352	3	hepyluh hepyluhr
和平区	he ping qu	hepyqu	869	3	hepyquh hepyquhs
荷枪实弹	he qiang shi dan	heqduidj	49	4	heqduidjt heqduidjtn
何其	he qi	heqi	493	2	heqio heqiot
和气	he qi	heqi	461	2	heqih heqiho
合起来	he qi lai	heqill	167	3	heqillo heqillod
呵欠	he qian	heqm	104	2	heqmr heqmrn
核潜艇	he qian ting	heqmty	544	3	heqmtyd heqmtydh
和亲	he qin	heqn	220	2	heqnh heqnhy
合群	he qun	heqp	181	2	heqpo heqpos
河曲	he qu	hequ	170	2	heque hequet
何去何从	he qu he cong	hequhecs	747	4	hequhecso hequhecsoo
合情	he qing	heqy	242	2	heqyo heqyop
鹤庆	he qing	heqy	111	2	heqyo heqyoi
和人	he ren	herf	1029	2	herfh herfho
何人	he ren	herf	606	2	herfo herfoo
何日	he ri	heri	239	2	herio herioa
赫然	he ran	herj	665	2	herjg herjgb
何润东	he run dong	herpds	232	3	herpdso herpdsok
何如	he ru	heru	157	2	heruo heruov
褐色	he se	hese	1017	2	hesel heseln
赫斯	he si	hesi	62	2	hesig hesigt
何所	he suo	heso	129	2	hesoo hesooh
核算	he suan	hesr	1994	2	hesrd hesrdh
核酸	he suan	hesr	417	2	hesrd hesrdm
合算	he suan	hesr	266	2	hesro hesroh
核素	he su	hesu	85	2	hesud hesudq
贺岁	he sui	hesv	790	2	hesvk hesvku
贺岁片	he sui pian	hesvpm	133	3	hesvpmk hesvpmkl
和他	he ta	heta	10530	2	hetah hetaho
和她	he ta	heta	5669	2	hetah hetahv
荷塘	he tang	heth	502	2	hetht hethtg
喝汤	he tang	heth	299	2	hethr hethre
核糖	he tang	heth	151	2	hethd hethdf
合体	he ti	heti	458	2	hetio hetioo
和谈	he tan	hetj	199	2	hetjh hetjhi
河滩	he tan	hetj	186	2	hetje hetjee
核桃	he tao	hetk	1553	2	hetkd hetkdd
河套	he tao	hetk	166	2	hetke hetkek
核桃仁	he tao ren	hetkrf	147	3	hetkrfd hetkrfdo
和田	he tian	hetm	1179	2	hetmh hetmhw
和田玉	he tian yu	hetmyu	256	3	hetmyuh hetmyuhm
河豚	he tun	hetp	133	2	hetpe hetpeb
合同法	he tong fa	hetsfa	1062	3	hetsfao hetsfaoe
合同书	he tong shu	hetsuu	170	3	hetsuuo hetsuuoi
河图洛书	he tu luo shu	hetulouu	31	4	hetulouue hetulouuei
河沙	he sha	heua	56	2	heuae heuaee
何首乌	he shou wu	heubwu	142	3	heubwuo heubwuop
核设施	he she shi	heueui	110	3	heueuid heueuidy
合身	he shen	heuf	219	2	heufo heufoh
河神	he shen	heuf	100	2	heufe heufei
合生	he sheng	heug	415	2	heugo heugoh
和声	he sheng	heug	316	2	heugh heughg
和尚	he shang	heuh	3010	2	heuhh heuhhf
合上	he shang	heuh	402	2	heuho heuhoy
喝上	he shang	heuh	287	2	heuhr heuhry
河上	he shang	heuh	269	2	heuhe heuhey
合适	he shi	heui	7771	2	heuio heuioy
何时	he shi	heui	4747	2	heuio heuioa
核实	he shi	heui	2059	2	heuid heuidj
何事	he shi	heui	369	2	heuio heuioj
合十	he shi	heui	165	2	heuio heuioj
和诗	he shi	heui	57	2	heuih heuihi
核试验	he shi yan	heuiyj	351	3	heuiyjd heuiyjdn
鹤山	he shan	heuj	403	2	heujo heujou
河山	he shan	heuj	369	2	heuje heujeu
和善	he shan	heuj	334	2	heujh heujht
鹤山市	he shan shi	heujui	159	3	heujuio heujuioy
和顺	he shun	heup	276	2	heuph heuphl
和数	he shu	heuu	157	2	heuuh heuuhf
合数	he shu	heuu	58	2	heuuo heuuof
喝水	he shui	heuv	1671	2	heuvr heuvre
河水	he shui	heuv	1217	2	heuve heuvee
和谁	he shei	heuz	679	2	heuzh heuzhi
贺州	he zhou	hevb	530	2	hevbk hevbkh
喝粥	he zhou	hevb	142	2	hevbr hevbrn
贺州市	he zhou shi	hevbui	109	3	hevbuik hevbuiky
盒装	he zhuang	hevd	700	2	hevdo hevdol
喝着	he zhe	heve	632	2	hever hevert
和着	he zhe	heve	429	2	heveh heveht
合着	he zhe	heve	127	2	heveo heveot
何者	he zhe	heve	67	2	heveo heveoj
合掌	he zhang	hevh	99	2	hevho hevhof
喝止	he zhi	hevi	375	2	hevir heviry
何止	he zhi	hevi	327	2	hevio hevioy
合照	he zhao	hevk	668	2	hevko hevkoa
核准	he zhun	hevp	1229	2	hevpd hevpdi
何种	he zhong	hevs	1220	2	hevso hevsoh
河中	he zhong	hevs	360	2	hevse hevsel
合众	he zhong	hevs	183	2	hevso hevsoo
盒中	he zhong	hevs	82	2	hevso hevsol
荷重	he zhong	hevs	56	2	hevst hevsth
合住	he zhu	hevu	304	2	hevuo hevuoo
合著	he zhu	hevu	178	2	hevuo hevuot
和文	he wen	hewf	269	2	hewfh hewfhy
核问题	he wen ti	hewfti	195	3	hewftid hewftida
喝完	he wan	hewj	613	2	hewjr hewjrj
河湾	he wan	hewj	165	2	hewje hewjee
何物	he wu	hewu	456	2	hewuo hewuoh
核武	he wu	hewu	170	2	hewud hewudm
核武器	he wu qi	hewuqi	517	3	hewuqid hewuqidr
何为	he wei	hewz	721	2	hewzo hewzoi
何谓	he wei	hewz	540	2	hewzo hewzoi
合为	he wei	hewz	148	2	hewzo hewzoi
合围	he wei	hewz	147	2	hewzo hewzow
核销	he xiao	hexc	270	2	hexcd hexcdo
河西	he xi	hexi	2327	2	hexie hexiem
贺喜	he xi	hexi	86	2	hexik hexikg
喝西北风	he xi bei feng	hexibzfg	44	4	hexibzfgr hexibzfgrh
河西区	he xi qu	hexiqu	640	3	hexique hexiques
和弦	he xian	hexm	989	2	hexmh hexmhn
贺信	he xin	hexn	100	2	hexnk hexnko
核心区	he xin qu	hexnqu	236	3	hexnqud hexnquds
和讯	he xun	hexp	1423	2	hexph hexphi
和煦	he xu	hexu	225	2	hexuh hexuha
何须	he xu	hexu	218	2	hexuo hexuoh
何许	he xu	hexu	128	2	hexuo hexuoi
何需	he xu	hexu	71	2	hexuo hexuom
何许人	he xu ren	hexurf	100	3	hexurfo hexurfoo
喝下	he xia	hexw	417	2	hexwr hexwrm
喝下去	he xia qu	hexwqu	149	3	hexwqur hexwqurg
和谐	he xie	hexx	11871	2	hexxh hexxhi
河蟹	he xie	hexx	376	2	hexxe hexxen
荷叶	he ye	heye	891	2	heyet heyetr
合页	he ye	heye	139	2	heyeo heyeom
河阳	he yang	heyh	61	2	heyhe heyhen
合一	he yi	heyi	1938	2	heyio heyiom
何以	he yi	heyi	1380	2	heyio heyiov
和易	he yi	heyi	185	2	heyih heyiha
合议	he yi	heyi	159	2	heyio heyioi
合意	he yi	heyi	114	2	heyio heyioy
喝一杯	he yi bei	heyibz	388	3	heyibzr heyibzrd
合议庭	he yi ting	heyity	121	3	heyityo heyityoi
核医学	he yi xue	heyixt	111	3	heyixtd heyixtdf
合演	he yan	heyj	120	2	heyjo heyjoe
合眼	he yan	heyj	113	2	heyjo heyjob
河沿	he yan	heyj	99	2	heyje heyjee
和颜悦色	he yan yue se	heyjytse	71	4	heyjytseh heyjytsehn
和音	he yin	heyn	197	2	heynh heynhy
河源	he yuan	heyr	1463	2	heyre heyree
河源市	he yuan shi	heyrui	220	3	heyruie heyruiey
合用	he yong	heys	284	2	heyso heysob
何用	he yong	heys	230	2	heyso heysob
合约	he yue	heyt	2369	2	heyto heytov
和悦	he yue	heyt	139	2	heyth heythp
和约	he yue	heyt	139	2	heyth heythv
何月	he yue	heyt	92	2	heyto heytob
合于	he yu	heyu	72	2	heyuo heyuom
合影	he ying	heyy	1752	2	heyyo heyyoa
合营	he ying	heyy	228	2	heyyo heyyot
合奏	he zou	hezb	188	2	hezbo hezboq
菏泽	he ze	heze	1402	2	hezet hezete
菏泽市	he ze shi	hezeui	185	3	hezeuit hezeuity
合葬	he zang	hezh	77	2	hezho hezhot
合资	he zi	hezi	2734	2	hezio hezioi
盒子	he zi	hezi	2336	2	hezio hezion
赫兹	he zi	hezi	122	2	hezig hezigt
核子	he zi	hezi	91	2	hezid hezidn
合子	he zi	hezi	67	2	hezio hezion
盒子里	he zi li	hezili	227	3	hezilio heziliow
何在	he zai	hezl	1044	2	hezlo hezlok
荷载	he zai	hezl	335	2	hezlt hezltj
合在	he zai	hezl	172	2	hezlo hezlok
合作方	he zuo fang	hezofh	122	3	hezofho hezofhoy
